Source;Target;Value;GEO;Year;Tag
Energy Imports;Total Energy Inputs;471;Ontario;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;2984;Ontario;1996;Super-Sankey
Total Use;Non-energy use;280;Ontario;1996;Super-Sankey
Other Inputs;Total Energy Inputs;107;Ontario;1996;Super-Sankey
Energy Use;Producer consumption;137;Ontario;1996;Super-Sankey
Energy Use;Public administration;30;Ontario;1996;Super-Sankey
Energy Use;Residential;536;Ontario;1996;Super-Sankey
Statistical difference;Total Energy Inputs;95;Ontario;1996;Super-Sankey
Stocks;Total Energy Inputs;14;Ontario;1996;Super-Sankey
Energy Use;Industrial;693;Ontario;1996;Super-Sankey
Energy Use;Transportation;719;Ontario;1996;Super-Sankey
Energy Production;Total Energy Inputs;0;Prince Edward Island;1996;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;1996;Super-Sankey
Energy Use;Commercial;4;Prince Edward Island;1996;Super-Sankey
Total Use;Energy Use;22;Prince Edward Island;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;1996;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Prince Edward Island;1996;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;1996;Super-Sankey
Energy Use;Public administration;1;Prince Edward Island;1996;Super-Sankey
Energy Use;Residential;5;Prince Edward Island;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;Prince Edward Island;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;1996;Super-Sankey
Energy Use;Industrial;2;Prince Edward Island;1996;Super-Sankey
Energy Use;Transportation;9;Prince Edward Island;1996;Super-Sankey
Energy Production;Total Energy Inputs;614;Quebec;1996;Super-Sankey
Energy Use;Agriculture;18;Quebec;1996;Super-Sankey
Energy Use;Commercial;147;Quebec;1996;Super-Sankey
Total Use;Energy Use;1385;Quebec;1996;Super-Sankey
Total Energy Inputs;Energy Exports;154;Quebec;1996;Super-Sankey
Energy Imports;Total Energy Inputs;866;Quebec;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;292;Quebec;1996;Super-Sankey
Total Use;Non-energy use;68;Quebec;1996;Super-Sankey
Other Inputs;Total Energy Inputs;0;Quebec;1996;Super-Sankey
Energy Use;Producer consumption;95;Quebec;1996;Super-Sankey
Energy Use;Public administration;33;Quebec;1996;Super-Sankey
Energy Use;Residential;271;Quebec;1996;Super-Sankey
Total Energy Inputs;Statistical difference;20;Quebec;1996;Super-Sankey
Stocks;Total Energy Inputs;9;Quebec;1996;Super-Sankey
Energy Use;Industrial;526;Quebec;1996;Super-Sankey
Energy Use;Transportation;389;Quebec;1996;Super-Sankey
Energy Production;Total Energy Inputs;1301;Saskatchewan;1996;Super-Sankey
Energy Use;Agriculture;54;Saskatchewan;1996;Super-Sankey
Energy Use;Commercial;45;Saskatchewan;1996;Super-Sankey
Total Use;Energy Use;376;Saskatchewan;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;Saskatchewan;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;Saskatchewan;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Saskatchewan;1996;Super-Sankey
Total Use;Non-energy use;1;Saskatchewan;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Saskatchewan;1996;Super-Sankey
Energy Use;Producer consumption;1;Saskatchewan;1996;Super-Sankey
Energy Use;Public administration;5;Saskatchewan;1996;Super-Sankey
Energy Use;Residential;56;Saskatchewan;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;Saskatchewan;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Saskatchewan;1996;Super-Sankey
Energy Use;Industrial;90;Saskatchewan;1996;Super-Sankey
Energy Use;Transportation;123;Saskatchewan;1996;Super-Sankey
Energy Production;Total Energy Inputs;0;Yukon;1996;Super-Sankey
Energy Use;Agriculture;0;Yukon;1996;Super-Sankey
Energy Use;Commercial;0;Yukon;1996;Super-Sankey
Total Use;Energy Use;0;Yukon;1996;Super-Sankey
Total Energy Inputs;Energy Exports;0;Yukon;1996;Super-Sankey
Energy Imports;Total Energy Inputs;0;Yukon;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Yukon;1996;Super-Sankey
Total Use;Non-energy use;0;Yukon;1996;Super-Sankey
Other Inputs;Total Energy Inputs;0;Yukon;1996;Super-Sankey
Energy Use;Producer consumption;0;Yukon;1996;Super-Sankey
Energy Use;Public administration;0;Yukon;1996;Super-Sankey
Energy Use;Residential;0;Yukon;1996;Super-Sankey
Statistical difference;Total Energy Inputs;0;Yukon;1996;Super-Sankey
Stocks;Total Energy Inputs;0;Yukon;1996;Super-Sankey
Energy Use;Industrial;0;Yukon;1996;Super-Sankey
Energy Use;Transportation;0;Yukon;1996;Super-Sankey
Energy Production;Total Energy Inputs;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Agriculture;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Commercial;8;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Total Use;Energy Use;15;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Total Use;Non-energy use;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Producer consumption;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Public administration;3;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Residential;3;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Industrial;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Use;Transportation;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Energy Production;Total Energy Inputs;10355;Alberta;1997;Super-Sankey
Energy Use;Agriculture;54;Alberta;1997;Super-Sankey
Energy Use;Commercial;158;Alberta;1997;Super-Sankey
Total Use;Energy Use;1193;Alberta;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1006;Alberta;1997;Super-Sankey
Energy Imports;Total Energy Inputs;2;Alberta;1997;Super-Sankey
Total Energy Inputs;To Other Provinces;7063;Alberta;1997;Super-Sankey
Total Use;Non-energy use;443;Alberta;1997;Super-Sankey
Other Inputs;Total Energy Inputs;56;Alberta;1997;Super-Sankey
Energy Use;Producer consumption;563;Alberta;1997;Super-Sankey
Energy Use;Public administration;14;Alberta;1997;Super-Sankey
Energy Use;Residential;174;Alberta;1997;Super-Sankey
Statistical difference;Total Energy Inputs;223;Alberta;1997;Super-Sankey
Total Energy Inputs;Stocks;84;Alberta;1997;Super-Sankey
Energy Use;Industrial;458;Alberta;1997;Super-Sankey
Energy Use;Transportation;323;Alberta;1997;Super-Sankey
Energy Production;Total Energy Inputs;283;Atlantic provinces;1997;Super-Sankey
Energy Use;Agriculture;10;Atlantic provinces;1997;Super-Sankey
Energy Use;Commercial;55;Atlantic provinces;1997;Super-Sankey
Total Use;Energy Use;482;Atlantic provinces;1997;Super-Sankey
Total Energy Inputs;Energy Exports;522;Atlantic provinces;1997;Super-Sankey
Energy Imports;Total Energy Inputs;984;Atlantic provinces;1997;Super-Sankey
Total Energy Inputs;To Other Provinces;21;Atlantic provinces;1997;Super-Sankey
Total Use;Non-energy use;30;Atlantic provinces;1997;Super-Sankey
Other Inputs;Total Energy Inputs;6;Atlantic provinces;1997;Super-Sankey
Energy Use;Producer consumption;70;Atlantic provinces;1997;Super-Sankey
Energy Use;Public administration;27;Atlantic provinces;1997;Super-Sankey
Energy Use;Residential;88;Atlantic provinces;1997;Super-Sankey
Statistical difference;Total Energy Inputs;102;Atlantic provinces;1997;Super-Sankey
Total Energy Inputs;Stocks;17;Atlantic provinces;1997;Super-Sankey
Energy Use;Industrial;123;Atlantic provinces;1997;Super-Sankey
Energy Use;Transportation;170;Atlantic provinces;1997;Super-Sankey
Energy Production;Total Energy Inputs;2013;British Columbia;1997;Super-Sankey
Energy Use;Agriculture;13;British Columbia;1997;Super-Sankey
Energy Use;Commercial;116;British Columbia;1997;Super-Sankey
Total Use;Energy Use;869;British Columbia;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1;British Columbia;1997;Super-Sankey
Energy Imports;Total Energy Inputs;1;British Columbia;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;British Columbia;1997;Super-Sankey
Total Use;Non-energy use;1;British Columbia;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;British Columbia;1997;Super-Sankey
Energy Use;Producer consumption;1;British Columbia;1997;Super-Sankey
Energy Use;Public administration;18;British Columbia;1997;Super-Sankey
Energy Use;Residential;139;British Columbia;1997;Super-Sankey
Total Energy Inputs;Statistical difference;1;British Columbia;1997;Super-Sankey
Total Energy Inputs;Stocks;1;British Columbia;1997;Super-Sankey
Energy Use;Industrial;251;British Columbia;1997;Super-Sankey
Energy Use;Transportation;332;British Columbia;1997;Super-Sankey
Energy Production;Total Energy Inputs;15214;Canada;1997;Super-Sankey
Energy Use;Agriculture;230;Canada;1997;Super-Sankey
Energy Use;Commercial;919;Canada;1997;Super-Sankey
Total Use;Energy Use;7012;Canada;1997;Super-Sankey
Total Energy Inputs;Energy Exports;8082;Canada;1997;Super-Sankey
Energy Imports;Total Energy Inputs;2625;Canada;1997;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;1997;Super-Sankey
Total Use;Non-energy use;931;Canada;1997;Super-Sankey
Other Inputs;Total Energy Inputs;161;Canada;1997;Super-Sankey
Energy Use;Producer consumption;1021;Canada;1997;Super-Sankey
Energy Use;Public administration;136;Canada;1997;Super-Sankey
Energy Use;Residential;1292;Canada;1997;Super-Sankey
Statistical difference;Total Energy Inputs;529;Canada;1997;Super-Sankey
Total Energy Inputs;Stocks;159;Canada;1997;Super-Sankey
Energy Use;Industrial;2202;Canada;1997;Super-Sankey
Energy Use;Transportation;2180;Canada;1997;Super-Sankey
Energy Production;Total Energy Inputs;146;Manitoba;1997;Super-Sankey
Energy Use;Agriculture;22;Manitoba;1997;Super-Sankey
Energy Use;Commercial;48;Manitoba;1997;Super-Sankey
Total Use;Energy Use;253;Manitoba;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;1997;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;1997;Super-Sankey
Total Use;Non-energy use;1;Manitoba;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;Manitoba;1997;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;1997;Super-Sankey
Energy Use;Public administration;5;Manitoba;1997;Super-Sankey
Energy Use;Residential;47;Manitoba;1997;Super-Sankey
Total Energy Inputs;Statistical difference;1;Manitoba;1997;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;1997;Super-Sankey
Energy Use;Industrial;36;Manitoba;1997;Super-Sankey
Energy Use;Transportation;94;Manitoba;1997;Super-Sankey
Energy Production;Total Energy Inputs;26;New Brunswick;1997;Super-Sankey
Energy Use;Agriculture;3;New Brunswick;1997;Super-Sankey
Energy Use;Commercial;18;New Brunswick;1997;Super-Sankey
Total Use;Energy Use;182;New Brunswick;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;1997;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;1997;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;New Brunswick;1997;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;1997;Super-Sankey
Energy Use;Public administration;7;New Brunswick;1997;Super-Sankey
Energy Use;Residential;28;New Brunswick;1997;Super-Sankey
Total Energy Inputs;Statistical difference;1;New Brunswick;1997;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;1997;Super-Sankey
Energy Use;Industrial;58;New Brunswick;1997;Super-Sankey
Energy Use;Transportation;58;New Brunswick;1997;Super-Sankey
Energy Production;Total Energy Inputs;147;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Agriculture;1;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Commercial;8;Newfoundland and Labrador;1997;Super-Sankey
Total Use;Energy Use;113;Newfoundland and Labrador;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;1997;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;1997;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Public administration;10;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Residential;19;Newfoundland and Labrador;1997;Super-Sankey
Statistical difference;Total Energy Inputs;0;Newfoundland and Labrador;1997;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Industrial;38;Newfoundland and Labrador;1997;Super-Sankey
Energy Use;Transportation;37;Newfoundland and Labrador;1997;Super-Sankey
Energy Production;Total Energy Inputs;0;Northwest Territories;1997;Super-Sankey
Energy Use;Agriculture;0;Northwest Territories;1997;Super-Sankey
Energy Use;Commercial;0;Northwest Territories;1997;Super-Sankey
Total Use;Energy Use;0;Northwest Territories;1997;Super-Sankey
Energy Imports;Total Energy Inputs;0;Northwest Territories;1997;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Northwest Territories;1997;Super-Sankey
Total Use;Non-energy use;0;Northwest Territories;1997;Super-Sankey
Other Inputs;Total Energy Inputs;0;Northwest Territories;1997;Super-Sankey
Energy Use;Producer consumption;0;Northwest Territories;1997;Super-Sankey
Energy Use;Public administration;0;Northwest Territories;1997;Super-Sankey
Energy Use;Residential;0;Northwest Territories;1997;Super-Sankey
Statistical difference;Total Energy Inputs;0;Northwest Territories;1997;Super-Sankey
Stocks;Total Energy Inputs;0;Northwest Territories;1997;Super-Sankey
Energy Use;Industrial;0;Northwest Territories;1997;Super-Sankey
Energy Use;Transportation;0;Northwest Territories;1997;Super-Sankey
Energy Production;Total Energy Inputs;111;Nova Scotia;1997;Super-Sankey
Energy Use;Agriculture;4;Nova Scotia;1997;Super-Sankey
Energy Use;Commercial;24;Nova Scotia;1997;Super-Sankey
Total Use;Energy Use;165;Nova Scotia;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;1997;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;1997;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;Nova Scotia;1997;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;1997;Super-Sankey
Energy Use;Public administration;9;Nova Scotia;1997;Super-Sankey
Energy Use;Residential;36;Nova Scotia;1997;Super-Sankey
Total Energy Inputs;Statistical difference;1;Nova Scotia;1997;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;1997;Super-Sankey
Energy Use;Industrial;25;Nova Scotia;1997;Super-Sankey
Energy Use;Transportation;66;Nova Scotia;1997;Super-Sankey
Energy Use;Agriculture;0;Nunavut;1997;Super-Sankey
Energy Use;Commercial;0;Nunavut;1997;Super-Sankey
Total Use;Energy Use;0;Nunavut;1997;Super-Sankey
Total Energy Inputs;Energy Exports;0;Nunavut;1997;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Nunavut;1997;Super-Sankey
Total Use;Non-energy use;0;Nunavut;1997;Super-Sankey
Other Inputs;Total Energy Inputs;0;Nunavut;1997;Super-Sankey
Energy Use;Public administration;0;Nunavut;1997;Super-Sankey
Energy Use;Residential;0;Nunavut;1997;Super-Sankey
Statistical difference;Total Energy Inputs;0;Nunavut;1997;Super-Sankey
Energy Use;Industrial;0;Nunavut;1997;Super-Sankey
Energy Use;Transportation;0;Nunavut;1997;Super-Sankey
Energy Production;Total Energy Inputs;416;Ontario;1997;Super-Sankey
Energy Use;Agriculture;55;Ontario;1997;Super-Sankey
Energy Use;Commercial;342;Ontario;1997;Super-Sankey
Total Use;Energy Use;2418;Ontario;1997;Super-Sankey
Total Energy Inputs;Energy Exports;1008;Ontario;1997;Super-Sankey
Energy Imports;Total Energy Inputs;643;Ontario;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;2987;Ontario;1997;Super-Sankey
Total Use;Non-energy use;278;Ontario;1997;Super-Sankey
Other Inputs;Total Energy Inputs;82;Ontario;1997;Super-Sankey
Energy Use;Producer consumption;134;Ontario;1997;Super-Sankey
Energy Use;Public administration;29;Ontario;1997;Super-Sankey
Energy Use;Residential;521;Ontario;1997;Super-Sankey
Statistical difference;Total Energy Inputs;107;Ontario;1997;Super-Sankey
Stocks;Total Energy Inputs;7;Ontario;1997;Super-Sankey
Energy Use;Industrial;696;Ontario;1997;Super-Sankey
Energy Use;Transportation;748;Ontario;1997;Super-Sankey
Energy Production;Total Energy Inputs;0;Prince Edward Island;1997;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;1997;Super-Sankey
Energy Use;Commercial;4;Prince Edward Island;1997;Super-Sankey
Total Use;Energy Use;23;Prince Edward Island;1997;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;1997;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;1997;Super-Sankey
Other Inputs;Total Energy Inputs;2;Prince Edward Island;1997;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;1997;Super-Sankey
Energy Use;Public administration;1;Prince Edward Island;1997;Super-Sankey
Energy Use;Residential;5;Prince Edward Island;1997;Super-Sankey
Total Energy Inputs;Statistical difference;1;Prince Edward Island;1997;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;1997;Super-Sankey
Energy Use;Industrial;2;Prince Edward Island;1997;Super-Sankey
Energy Use;Transportation;8;Prince Edward Island;1997;Super-Sankey
Energy Production;Total Energy Inputs;594;Quebec;1997;Super-Sankey
Energy Use;Agriculture;19;Quebec;1997;Super-Sankey
Energy Use;Commercial;150;Quebec;1997;Super-Sankey
Total Use;Energy Use;1409;Quebec;1997;Super-Sankey
Total Energy Inputs;Energy Exports;154;Quebec;1997;Super-Sankey
Energy Imports;Total Energy Inputs;909;Quebec;1997;Super-Sankey
